# Filter values for the AUPE filter set

# data from Coates, A. J., et al. 
# "The PanCam instrument for the ExoMars rover."
# Astrobiology 17.6-7 (2017): 511-541

cwl,fwhm,transmission,position,name

# Left filters

570,12,0.989,L01,G04
530,15,0.957,L02,G03
610,10,0.956,L03,G05
500,20,0.966,L04,G02
670,12,0.962,L05,G06
440,25,0.987,L06,G01
640,100,0.993,L07,C01L
540,80,0.988,L08,C02L
440,120,0.983,L09,C03L
925,5,5.52e-07,L10,S01
935,5,8.54e-07,L11,S02

# Right filters

840,25,0.989,R01,G09
780,20,0.981,R02,G08
740,15,0.983,R03,G07
900,30,0.983,R04,G10
950,50,0.994,R05,G11
1000,50,0.996,R06,G12
640,100,0.993,R07,C01R
540,80,0.988,R08,C02R
440,120,0.983,R09,C03R
450,5,1.356e-06,R10,S03
670,5,9.22e-07,R11,S04
